PO ID,Supplier ID,Supplier,Category,Region,Buyer,Order Date,Promised Date,Receipt Date,Qty Ordered,Qty Received,Unit Price,Benchmark Price,Defect Qty
PO-0207,SUP-007,Supplier 07,Electrical,Italy,Lea,2026-04-28,2026-06-01,2026-05-29,67,67,60.43,60.68,1
PO-0208,SUP-008,Supplier 08,Controls,Turkey,Yara,2026-01-13,2026-03-03,2026-03-01,161,150,232.07,217.18,0
PO-0209,SUP-009,Supplier 09,Fixtures,China,Omar,2026-03-02,2026-03-15,2026-03-13,25,25,20.21,20.83,0
PO-0210,SUP-010,Supplier 10,Cables,UAE,Lea,2026-05-17,2026-06-26,2026-06-23,303,303,74.16,72.58,0
PO-0211,SUP-011,Supplier 11,Lighting,Lebanon,Yara,2026-01-02,2026-02-10,2026-03-01,142,142,125.2,125.11,0
PO-0212,SUP-012,Supplier 12,Electrical,Italy,Omar,2026-01-31,2026-02-12,2026-02-17,466,466,135.07,126.13,0
PO-0213,SUP-013,Supplier 13,Controls,Turkey,Lea,2026-05-25,2026-07-13,2026-07-09,66,63,48.23,50.21,0
PO-0214,SUP-014,Supplier 14,Fixtures,China,Yara,2026-04-14,2026-05-22,2026-05-25,488,488,13.03,12.08,14
PO-0215,SUP-015,Supplier 15,Cables,UAE,Omar,2026-05-21,2026-06-13,2026-06-11,276,276,87.31,85.47,0
PO-0216,SUP-016,Supplier 16,Lighting,Lebanon,Lea,2026-06-13,2026-07-17,2026-07-21,129,129,118.49,110.33,3
PO-0217,SUP-017,Supplier 17,Electrical,Italy,Yara,2026-02-01,2026-03-01,2026-03-06,365,365,198.95,183.17,0
PO-0218,SUP-018,Supplier 18,Controls,Turkey,Omar,2026-05-07,2026-06-02,2026-06-18,249,249,167.77,168.03,0
PO-0219,SUP-019,Supplier 19,Fixtures,China,Lea,2026-03-20,2026-04-11,2026-04-13,334,334,49.31,49.45,0
PO-0220,SUP-020,Supplier 20,Cables,UAE,Yara,2026-01-10,2026-02-02,2026-01-26,209,209,78.37,80.85,0
PO-0221,SUP-001,Supplier 01,Lighting,Lebanon,Omar,2026-03-24,2026-04-23,2026-05-03,104,104,76.55,77.69,1
PO-0222,SUP-002,Supplier 02,Electrical,Italy,Lea,2026-03-13,2026-03-29,2026-03-24,221,221,185.75,176.45,0
PO-0223,SUP-003,Supplier 03,Controls,Turkey,Yara,2026-01-25,2026-02-12,2026-02-16,338,338,207,211.72,0
PO-0224,SUP-004,Supplier 04,Fixtures,China,Omar,2026-03-30,2026-05-08,2026-05-03,124,124,117.26,109.52,0
PO-0225,SUP-005,Supplier 05,Cables,UAE,Lea,2026-03-28,2026-05-07,2026-05-18,410,410,55.8,57.43,6
PO-0226,SUP-006,Supplier 06,Lighting,Lebanon,Yara,2026-01-15,2026-02-18,2026-02-22,348,348,167.34,173.53,0
PO-0227,SUP-007,Supplier 07,Electrical,Italy,Omar,2026-02-20,2026-04-06,2026-04-11,159,159,103.61,104.96,5
PO-0228,SUP-008,Supplier 08,Controls,Turkey,Lea,2026-01-14,2026-02-22,2026-02-20,494,494,154.84,164.57,26
PO-0229,SUP-009,Supplier 09,Fixtures,China,Yara,2026-06-14,2026-06-28,2026-06-25,355,355,98.11,95.75,19
PO-0230,SUP-010,Supplier 10,Cables,UAE,Omar,2026-03-21,2026-04-04,2026-04-02,350,350,89.73,92.67,0
PO-0231,SUP-011,Supplier 11,Lighting,Lebanon,Lea,2026-04-21,2026-06-07,2026-06-19,153,153,222.16,227.52,0
PO-0232,SUP-012,Supplier 12,Electrical,Italy,Yara,2026-05-08,2026-05-20,2026-06-03,48,48,185.56,199.47,0
PO-0233,SUP-013,Supplier 13,Controls,Turkey,Omar,2026-05-19,2026-07-07,2026-07-03,117,117,151.27,148.68,0
PO-0234,SUP-014,Supplier 14,Fixtures,China,Lea,2026-04-06,2026-05-24,2026-05-29,245,241,64.88,59.7,9
PO-0235,SUP-015,Supplier 15,Cables,UAE,Yara,2026-03-21,2026-04-06,2026-04-04,132,131,104.75,109.4,2
PO-0236,SUP-016,Supplier 16,Lighting,Lebanon,Omar,2026-05-12,2026-06-13,2026-06-22,41,40,60.18,61.97,0
PO-0237,SUP-017,Supplier 17,Electrical,Italy,Lea,2026-06-07,2026-07-19,2026-07-16,126,126,179.68,176.51,0
PO-0238,SUP-018,Supplier 18,Controls,Turkey,Yara,2026-02-19,2026-04-01,2026-03-30,213,213,133.65,121.73,0
PO-0239,SUP-019,Supplier 19,Fixtures,China,Omar,2026-04-30,2026-05-15,2026-05-26,22,22,102.61,107.58,0
PO-0240,SUP-020,Supplier 20,Cables,UAE,Lea,2026-05-22,2026-07-05,2026-07-02,190,190,147.8,151.45,0
PO-0241,SUP-001,Supplier 01,Lighting,Lebanon,Yara,2026-04-02,2026-04-26,2026-04-30,123,123,140.93,146.13,0
PO-0242,SUP-002,Supplier 02,Electrical,Italy,Omar,2026-04-15,2026-05-05,2026-05-07,62,62,159.95,159.94,0
PO-0243,SUP-003,Supplier 03,Controls,Turkey,Lea,2026-01-08,2026-01-30,2026-02-02,428,428,173.52,158.11,16
PO-0244,SUP-004,Supplier 04,Fixtures,China,Yara,2026-06-08,2026-07-09,2026-07-06,244,244,204.75,186.41,1
PO-0245,SUP-005,Supplier 05,Cables,UAE,Omar,2026-04-24,2026-06-09,2026-06-11,166,166,154,146.38,0
PO-0246,SUP-006,Supplier 06,Lighting,Lebanon,Lea,2026-05-19,2026-06-22,2026-07-09,442,402,192.25,177.35,0
PO-0247,SUP-007,Supplier 07,Electrical,Italy,Yara,2026-04-12,2026-04-26,2026-04-19,50,48,231.2,226.56,0
PO-0248,SUP-008,Supplier 08,Controls,Turkey,Omar,2026-01-07,2026-02-23,2026-02-26,308,264,88.5,80.62,0
PO-0249,SUP-009,Supplier 09,Fixtures,China,Lea,2026-05-20,2026-06-21,2026-06-21,477,477,98.92,89.32,0
PO-0250,SUP-010,Supplier 10,Cables,UAE,Yara,2026-05-25,2026-06-08,2026-06-08,400,400,187.35,200.02,0
PO-0251,SUP-011,Supplier 11,Lighting,Lebanon,Omar,2026-05-31,2026-06-27,2026-07-09,150,150,81.49,75.33,3
PO-0252,SUP-012,Supplier 12,Electrical,Italy,Lea,2026-02-11,2026-03-08,2026-03-04,412,412,152.33,144.65,0
PO-0253,SUP-013,Supplier 13,Controls,Turkey,Yara,2026-04-12,2026-05-01,2026-05-13,462,462,20.65,20.73,5
PO-0254,SUP-014,Supplier 14,Fixtures,China,Omar,2026-04-29,2026-05-31,2026-05-26,255,255,229.6,210.56,0
PO-0255,SUP-015,Supplier 15,Cables,UAE,Lea,2026-04-09,2026-05-19,2026-05-24,79,75,91.26,93.55,0
PO-0256,SUP-016,Supplier 16,Lighting,Lebanon,Yara,2026-04-09,2026-04-21,2026-04-29,427,427,175.98,189.04,0
PO-0257,SUP-017,Supplier 17,Electrical,Italy,Omar,2026-03-28,2026-04-09,2026-04-10,355,355,228.56,225.91,8
PO-0258,SUP-018,Supplier 18,Controls,Turkey,Lea,2026-03-19,2026-04-18,2026-04-17,450,450,97.67,91.96,0
PO-0259,SUP-019,Supplier 19,Fixtures,China,Yara,2026-01-14,2026-02-06,2026-02-04,229,227,42.43,42.44,0
PO-0260,SUP-020,Supplier 20,Cables,UAE,Omar,2026-06-14,2026-06-30,2026-07-20,369,360,33.38,32.4,18
PO-0261,SUP-001,Supplier 01,Lighting,Lebanon,Lea,2026-01-01,2026-01-20,2026-01-22,448,448,191.64,199.3,0
PO-0262,SUP-002,Supplier 02,Electrical,Italy,Yara,2026-01-25,2026-02-15,2026-02-09,105,96,177.08,174.8,0
PO-0263,SUP-003,Supplier 03,Controls,Turkey,Omar,2026-02-04,2026-03-19,2026-03-24,380,380,24.08,25.71,0
PO-0264,SUP-004,Supplier 04,Fixtures,China,Lea,2026-06-09,2026-07-02,2026-07-03,73,73,175.08,187.71,2
PO-0265,SUP-005,Supplier 05,Cables,UAE,Yara,2026-02-22,2026-04-03,2026-04-04,457,457,136.93,141.63,0
PO-0266,SUP-006,Supplier 06,Lighting,Lebanon,Omar,2026-02-14,2026-02-27,2026-03-07,434,434,139,136.21,0
PO-0267,SUP-007,Supplier 07,Electrical,Italy,Lea,2026-04-13,2026-05-28,2026-06-05,260,260,125.01,133.58,0
PO-0268,SUP-008,Supplier 08,Controls,Turkey,Yara,2026-03-30,2026-05-06,2026-04-29,435,435,10.42,9.46,0
PO-0269,SUP-009,Supplier 09,Fixtures,China,Omar,2026-01-27,2026-02-11,2026-02-13,380,380,103.43,107.16,0
PO-0270,SUP-010,Supplier 10,Cables,UAE,Lea,2026-04-16,2026-06-02,2026-05-28,274,274,111.69,115.46,0
PO-0271,SUP-011,Supplier 11,Lighting,Lebanon,Yara,2026-03-02,2026-03-31,2026-04-02,380,380,77.4,76.47,12
PO-0272,SUP-012,Supplier 12,Electrical,Italy,Omar,2026-02-23,2026-04-08,2026-04-01,238,238,122.7,118.73,0
PO-0273,SUP-013,Supplier 13,Controls,Turkey,Lea,2026-02-08,2026-03-18,2026-03-19,362,362,103.01,102.56,9
PO-0274,SUP-014,Supplier 14,Fixtures,China,Yara,2026-05-25,2026-06-27,2026-07-12,441,409,59.07,62.17,0
PO-0275,SUP-015,Supplier 15,Cables,UAE,Omar,2026-03-09,2026-04-11,2026-04-06,328,328,110.47,104.14,0
PO-0276,SUP-016,Supplier 16,Lighting,Lebanon,Lea,2026-02-01,2026-03-09,2026-03-19,125,125,185.46,172.4,0
PO-0277,SUP-017,Supplier 17,Electrical,Italy,Yara,2026-02-18,2026-03-10,2026-03-06,237,237,230.22,223.46,0
PO-0278,SUP-018,Supplier 18,Controls,Turkey,Omar,2026-02-09,2026-03-26,2026-03-31,278,278,117.39,112.31,0
PO-0279,SUP-019,Supplier 19,Fixtures,China,Lea,2026-04-02,2026-05-12,2026-05-07,456,456,162.64,168.58,0
PO-0280,SUP-020,Supplier 20,Cables,UAE,Yara,2026-05-18,2026-05-30,2026-06-02,227,227,61.44,60.66,0
PO-0281,SUP-001,Supplier 01,Lighting,Lebanon,Omar,2026-04-11,2026-04-24,2026-05-04,433,433,100.11,92.75,7
PO-0282,SUP-002,Supplier 02,Electrical,Italy,Lea,2026-03-12,2026-04-14,2026-04-10,63,63,48.85,51.64,0
PO-0283,SUP-003,Supplier 03,Controls,Turkey,Yara,2026-04-04,2026-05-12,2026-05-12,325,325,148.1,149.13,0
PO-0284,SUP-004,Supplier 04,Fixtures,China,Omar,2026-01-22,2026-02-06,2026-02-02,305,305,150.5,150.25,0
PO-0285,SUP-005,Supplier 05,Cables,UAE,Lea,2026-03-03,2026-04-11,2026-04-06,175,175,112.59,108.8,0
PO-0286,SUP-006,Supplier 06,Lighting,Lebanon,Yara,2026-04-02,2026-05-13,2026-05-22,312,312,196.88,210.3,0
PO-0287,SUP-007,Supplier 07,Electrical,Italy,Omar,2026-01-18,2026-02-18,2026-02-13,458,458,177.2,170.06,10
PO-0288,SUP-008,Supplier 08,Controls,Turkey,Lea,2026-06-09,2026-07-10,2026-07-25,184,174,110.67,103.66,0
PO-0289,SUP-009,Supplier 09,Fixtures,China,Yara,2026-03-31,2026-04-27,2026-04-26,355,355,183.69,193.76,0
PO-0290,SUP-010,Supplier 10,Cables,UAE,Omar,2026-01-15,2026-02-26,2026-02-22,246,246,227.6,219.81,0
PO-0291,SUP-011,Supplier 11,Lighting,Lebanon,Lea,2026-02-08,2026-03-09,2026-03-20,237,237,80.13,80.71,0
PO-0292,SUP-012,Supplier 12,Electrical,Italy,Yara,2026-03-22,2026-04-21,2026-04-20,430,430,178.28,179.74,0
PO-0293,SUP-013,Supplier 13,Controls,Turkey,Omar,2026-04-22,2026-05-15,2026-05-17,291,291,169.24,175.17,15
PO-0294,SUP-014,Supplier 14,Fixtures,China,Lea,2026-04-29,2026-05-15,2026-05-16,268,268,11.08,10.8,0
PO-0295,SUP-015,Supplier 15,Cables,UAE,Yara,2026-03-17,2026-04-12,2026-04-24,397,397,123.17,123.14,16
PO-0296,SUP-016,Supplier 16,Lighting,Lebanon,Omar,2026-04-20,2026-05-21,2026-06-04,66,66,91.14,94.16,0
PO-0297,SUP-017,Supplier 17,Electrical,Italy,Lea,2026-04-15,2026-05-10,2026-05-03,122,122,94.94,85.57,0
PO-0298,SUP-018,Supplier 18,Controls,Turkey,Yara,2026-01-19,2026-02-10,2026-02-03,371,371,175.21,168.17,0
PO-0299,SUP-019,Supplier 19,Fixtures,China,Omar,2026-06-07,2026-06-20,2026-06-25,197,197,158.76,154.8,0
PO-0300,SUP-020,Supplier 20,Cables,UAE,Lea,2026-01-15,2026-02-12,2026-02-12,33,33,55.99,53.39,0
